Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,adversarial,34,True,UAP,0.015151515151515152,0.1590909090909091,132,0.01,0.105,
resnet,adversarial,34,False,BL-BFGS,0.02,0.115,200,0.02,0.115,
resnet,adversarial,34,False,CW2,0.02,0.12,200,0.02,0.12,
resnet,adversarial,34,False,DeepFool,0.011904761904761904,0.10119047619047619,168,0.01,0.085,
resnet,adversarial,34,False,FGSM,0.17964071856287425,0.10778443113772455,167,0.15,0.09,
resnet,adversarial,34,False,LLC,0.06432748538011696,0.05847953216374269,171,0.055,0.05,
resnet,adversarial,34,False,PGD,0.095,0.125,200,0.095,0.125,
resnet,adversarial,34,False,RFGSM,0.06134969325153374,0.11042944785276074,163,0.05,0.09,
resnet,adversarial,34,False,STEP_LLC,0.16981132075471697,0.14150943396226415,106,0.09,0.075,
resnet,adversarial,34,False,UAP,0.13043478260869565,0.13043478260869565,69,0.045,0.045,
resnet,adversarial,50,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
resnet,adversarial,50,True,CW2,0.005,0.115,200,0.005,0.115,
resnet,adversarial,50,True,DeepFool,0.005076142131979695,0.116751269035533,197,0.005,0.115,
resnet,adversarial,50,True,FGSM,0.18269230769230768,0.18269230769230768,104,0.095,0.095,
resnet,adversarial,50,True,LLC,0.04712041884816754,0.020942408376963352,191,0.045,0.02,
resnet,adversarial,50,True,PGD,0.05,0.16,200,0.05,0.16,
resnet,adversarial,50,True,RFGSM,0.06134969325153374,0.147239263803681,163,0.05,0.12,
resnet,adversarial,50,True,STEP_LLC,0.14634146341463414,0.10975609756097561,82,0.06,0.045,
resnet,adversarial,50,True,UAP,0.006369426751592357,0.006369426751592357,157,0.005,0.005,
resnet,adversarial,50,False,BL-BFGS,0.01,0.11,200,0.01,0.11,
resnet,adversarial,50,False,CW2,0.01,0.11,200,0.01,0.11,
resnet,adversarial,50,False,DeepFool,0.011299435028248588,0.07909604519774012,177,0.01,0.07,
