Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,adversarial,18,TRUE,FGSM,0.068965517,0.064516129,0.074074074,58,31,27,0.02,0.02,0.02
resnet,adversarial,18,TRUE,LLC,0.009174312,0,0.018181818,109,54,55,0.005,0,0.01
resnet,adversarial,18,TRUE,PGD,0.025,0.02,0.03,200,100,100,0.025,0.02,0.03
resnet,adversarial,18,TRUE,RFGSM,0.027027027,0.016393443,0.04,111,61,50,0.015,0.01,0.02
resnet,adversarial,18,TRUE,STEP_LLC,0.08,0.033333333,0.15,50,30,20,0.02,0.01,0.03
resnet,adversarial,18,TRUE,UAP,0,0,0,103,12,91,0,0,0
resnet,adversarial,18,FALSE,BL-BFGS,0.005025126,0.01010101,0,199,99,100,0.005,0.01,0
resnet,adversarial,18,FALSE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,18,FALSE,DeepFool,0,0,0,112,61,51,0,0,0
resnet,adversarial,18,FALSE,FGSM,0.015384615,0.010416667,0.02020202,195,96,99,0.015,0.01,0.02
resnet,adversarial,18,FALSE,LLC,0.023255814,0.025641026,0.021276596,86,39,47,0.01,0.01,0.01
resnet,adversarial,18,FALSE,PGD,0.010050251,0.01,0.01010101,199,100,99,0.01,0.01,0.01
resnet,adversarial,18,FALSE,RFGSM,0.01,0.01,0.01,200,100,100,0.01,0.01,0.01
resnet,adversarial,18,FALSE,STEP_LLC,0.009174312,0,0.019607843,109,58,51,0.005,0,0.01
resnet,adversarial,18,FALSE,UAP,0,0,0,112,61,51,0,0,0
resnet,adversarial,34,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,34,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,34,TRUE,DeepFool,0,0,0,174,85,89,0,0,0
resnet,adversarial,34,TRUE,FGSM,0.067567568,0.055555556,0.078947368,74,36,38,0.025,0.02,0.03
resnet,adversarial,34,TRUE,LLC,0.032608696,0,0.06122449,92,43,49,0.015,0,0.03
resnet,adversarial,34,TRUE,PGD,0.025,0.02,0.03,200,100,100,0.025,0.02,0.03
resnet,adversarial,34,TRUE,RFGSM,0.026086957,0.016949153,0.035714286,115,59,56,0.015,0.01,0.02
resnet,adversarial,34,TRUE,STEP_LLC,0.031746032,0,0.0625,63,31,32,0.01,0,0.02
resnet,adversarial,34,TRUE,UAP,0,0,0,102,7,95,0,0,0
resnet,adversarial,34,FALSE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,34,FALSE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,34,FALSE,DeepFool,0,0,0,117,61,56,0,0,0
